sale_id,sale_date,store_id,product_id,units_demanded,units_sold,inventory_on_hand,units_ordered,unit_price,promotion_flag,stockout_flag,lead_time_days
1,2023-01-01,11,59,23,23,39,26,42.3,0,0,3
2,2023-01-01,14,4,32,32,74,36,13.19,0,0,5
3,2023-01-01,1,25,40,40,42,42,14.08,0,0,7
4,2023-01-01,10,91,7,7,13,9,218.18,0,0,5
5,2023-01-01,9,24,24,24,52,27,13.34,0,0,3
6,2023-01-01,11,98,7,7,12,10,97.17,0,0,4
7,2023-01-01,12,67,25,19,19,29,89.69,0,1,4
8,2023-01-01,15,105,21,21,34,27,10.96,0,0,3
9,2023-01-01,15,137,23,23,26,25,38.18,1,0,5
10,2023-01-01,17,71,22,22,23,26,66.28,0,0,5
11,2023-01-01,7,4,35,29,29,44,13.19,0,1,2
12,2023-01-01,14,50,18,16,16,11,631.28,1,1,10
13,2023-01-01,6,149,34,34,40,39,20.82,0,0,4
14,2023-01-01,8,68,27,27,34,34,50.47,0,0,5
15,2023-01-01,12,136,20,20,22,18,57.69,0,0,4
16,2023-01-01,14,40,14,6,6,11,334.04,0,1,4
17,2023-01-01,1,119,35,30,30,40,21.71,0,1,4
18,2023-01-01,11,93,6,6,8,8,232.25,0,0,10
19,2023-01-01,10,27,10,8,8,6,526.9,0,1,5
20,2023-01-01,19,40,9,9,12,12,334.04,0,0,7
21,2023-01-01,19,82,23,23,30,22,118.83,0,0,3
22,2023-01-01,12,7,28,28,35,35,8.88,0,0,4
23,2023-01-01,20,117,33,33,61,42,35.91,1,0,4
24,2023-01-01,5,77,26,26,30,19,139.44,1,0,4
25,2023-01-01,13,115,23,16,16,16,27.13,0,1,5
26,2023-01-01,4,73,23,23,32,24,33.95,0,0,4
27,2023-01-01,17,149,22,22,26,25,20.82,0,0,3
28,2023-01-01,15,88,11,7,7,8,171.73,0,1,5
29,2023-01-01,1,111,38,38,44,33,15.84,0,0,5
30,2023-01-01,11,114,17,17,32,28,27.96,1,0,2
31,2023-01-01,17,25,30,30,43,35,14.08,0,0,4
32,2023-01-01,16,62,58,56,56,62,44.05,1,1,7
33,2023-01-01,19,16,48,40,40,54,9.01,0,1,7
34,2023-01-01,1,112,24,23,23,25,55.64,0,1,5
35,2023-01-01,3,44,8,8,9,8,650.26,0,0,7
36,2023-01-01,18,83,38,38,53,36,17.27,0,0,7
37,2023-01-01,12,106,26,26,29,34,41.01,1,0,2
38,2023-01-01,4,106,15,15,16,13,48.25,0,0,3
39,2023-01-01,13,92,9,9,9,6,222.13,0,0,3
40,2023-01-01,5,145,32,23,23,27,27.82,0,1,2
41,2023-01-01,2,56,15,15,19,23,83.55,0,0,5
42,2023-01-01,8,16,37,27,27,32,9.01,0,1,10
43,2023-01-01,11,53,34,26,26,36,33.74,0,1,2
44,2023-01-01,9,141,17,17,25,25,35.9,0,0,10
45,2023-01-01,6,117,23,23,43,31,42.25,0,0,3
46,2023-01-01,13,63,21,21,32,25,63.58,0,0,10
47,2023-01-01,9,139,19,17,17,19,34.46,0,1,3
48,2023-01-01,10,33,21,21,22,12,201.63,1,0,4
49,2023-01-01,8,90,10,10,13,12,191.13,0,0,4
50,2023-01-01,12,77,16,8,8,11,164.05,0,1,4
51,2023-01-01,7,134,26,26,33,34,40.11,0,0,7
52,2023-01-01,3,36,18,6,6,9,649.85,0,1,7
53,2023-01-01,13,127,28,28,48,42,8.08,1,0,4
54,2023-01-01,1,80,31,31,32,27,25.36,0,0,3
55,2023-01-01,15,110,15,12,12,18,44.57,0,1,7
56,2023-01-01,2,64,26,26,29,23,41.66,0,0,10
57,2023-01-01,10,84,6,4,4,10,227.42,0,1,3
58,2023-01-01,7,19,64,64,78,69,5.11,0,0,4
59,2023-01-01,18,113,22,22,33,26,51.64,0,0,10
60,2023-01-01,2,132,11,11,19,16,63.34,0,0,5
61,2023-01-01,18,120,19,19,50,27,38.37,0,0,10
62,2023-01-01,2,15,37,37,49,33,4.59,0,0,5
63,2023-01-01,1,128,24,16,16,24,45.9,0,1,5
64,2023-01-01,7,113,20,20,24,26,51.64,0,0,5
65,2023-01-01,6,67,32,32,72,50,76.24,1,0,2
66,2023-01-01,1,84,12,12,20,13,227.42,0,0,7
67,2023-01-01,17,145,20,20,24,18,27.82,0,0,7
68,2023-01-01,5,25,36,30,30,35,14.08,0,1,7
69,2023-01-01,7,78,21,21,36,24,74.01,0,0,10
70,2023-01-01,4,68,23,16,16,21,50.47,0,1,4
71,2023-01-01,13,140,13,13,16,16,63.63,0,0,5
72,2023-01-01,19,43,20,13,13,14,214.85,0,1,2
73,2023-01-01,4,19,31,31,69,39,5.11,0,0,3
74,2023-01-01,16,61,80,33,33,67,16.56,0,1,2
75,2023-01-01,6,143,19,19,33,22,46.86,0,0,2
76,2023-01-01,13,105,15,15,25,22,10.96,0,0,3
77,2023-01-01,20,16,53,48,48,57,9.01,0,1,7
78,2023-01-01,7,150,14,14,33,22,66.66,0,0,5
79,2023-01-01,11,11,49,49,76,47,2.04,0,0,7
80,2023-01-01,5,88,11,11,21,13,171.73,0,0,7
81,2023-01-01,17,82,10,10,17,15,118.83,0,0,2
82,2023-01-01,17,88,11,11,12,12,171.73,0,0,5
83,2023-01-01,20,93,18,17,17,15,232.25,0,1,4
84,2023-01-01,4,20,32,26,26,22,14.31,0,1,4
85,2023-01-01,5,71,39,32,32,43,66.28,0,1,10
86,2023-01-01,9,75,31,23,23,27,54.26,0,1,7
87,2023-01-01,3,143,16,16,31,24,46.86,0,0,7
88,2023-01-01,16,121,27,27,29,38,29.32,0,0,3
89,2023-01-01,1,106,21,21,33,23,48.25,0,0,5
90,2023-01-01,9,78,15,14,14,17,74.01,0,1,2
91,2023-01-01,16,109,18,18,29,30,33.6,0,0,5
92,2023-01-01,19,75,37,37,55,49,54.26,0,0,10
93,2023-01-01,11,38,9,7,7,6,384.28,0,1,2
94,2023-01-01,11,125,5,5,11,18,50.01,0,0,4
95,2023-01-01,20,79,19,19,38,34,36.69,0,0,5
96,2023-01-01,6,63,76,76,107,75,54.04,1,0,2
97,2023-01-01,3,12,51,51,77,61,5.42,0,0,10
98,2023-01-01,17,26,11,11,12,9,176.9,0,0,4
99,2023-01-01,19,129,26,25,25,33,33.7,0,1,10
100,2023-01-01,18,20,56,56,59,60,12.16,1,0,10
101,2023-01-01,7,95,20,20,27,20,77.7,0,0,4
102,2023-01-01,3,118,23,23,53,34,36.3,0,0,5
103,2023-01-01,20,6,54,38,38,46,7.0,0,1,2
104,2023-01-01,9,36,3,3,11,7,649.85,0,0,4
105,2023-01-01,19,103,39,25,25,52,11.34,0,1,5
106,2023-01-01,17,60,43,43,66,46,29.7,0,0,10
107,2023-01-01,4,46,2,2,6,4,775.82,0,0,10
108,2023-01-01,16,69,35,35,48,31,80.47,0,0,4
109,2023-01-01,2,19,44,38,38,34,5.11,0,1,4
110,2023-01-01,10,73,36,22,22,35,33.95,0,1,5
111,2023-01-01,15,83,22,19,19,25,17.27,0,1,3
112,2023-01-01,12,105,33,33,35,36,10.96,0,0,5
113,2023-01-01,19,10,73,73,91,67,3.45,0,0,7
114,2023-01-01,11,18,46,46,79,51,2.25,0,0,4
115,2023-01-01,2,133,11,11,23,15,56.26,0,0,5
116,2023-01-01,14,123,32,32,62,46,14.33,0,0,3
117,2023-01-01,18,103,64,64,102,85,9.64,1,0,7
118,2023-01-01,10,48,9,7,7,7,694.43,0,1,10
119,2023-01-01,1,52,33,33,48,49,62.95,0,0,3
120,2023-01-01,12,71,23,23,38,34,66.28,0,0,2
121,2023-01-01,14,58,59,56,56,77,15.48,0,1,7
122,2023-01-01,3,133,20,20,32,27,56.26,0,0,2
123,2023-01-01,12,126,20,20,23,25,27.25,0,0,4
124,2023-01-01,10,134,14,14,29,35,34.09,1,0,10
125,2023-01-01,18,54,32,26,26,49,68.86,0,1,10
126,2023-01-01,13,84,6,6,8,9,227.42,0,0,4
127,2023-01-01,20,48,7,7,9,8,694.43,0,0,4
128,2023-01-01,5,27,9,3,3,8,526.9,0,1,4
129,2023-01-01,12,134,12,11,11,22,40.11,0,1,10
130,2023-01-01,5,122,20,20,31,22,48.66,0,0,2
131,2023-01-01,15,38,2,2,5,7,384.28,0,0,4
132,2023-01-01,18,115,37,33,33,26,27.13,0,1,4
133,2023-01-01,8,57,26,22,22,22,86.86,0,1,4
134,2023-01-01,17,123,27,27,34,29,14.33,0,0,3
135,2023-01-01,14,31,10,9,9,10,512.26,0,1,4
136,2023-01-01,12,135,11,11,16,19,64.88,0,0,3
137,2023-01-01,20,145,20,20,40,37,27.82,0,0,5
138,2023-01-02,9,9,16,16,28,20,11.76,0,0,5
139,2023-01-02,10,38,9,5,5,6,384.28,0,1,2
140,2023-01-02,4,22,15,15,27,17,11.96,0,0,7
141,2023-01-02,13,119,21,21,29,27,18.45,1,0,10
142,2023-01-02,3,9,28,28,29,35,11.76,0,0,2
143,2023-01-02,4,127,23,23,30,33,8.08,1,0,5
144,2023-01-02,7,25,26,26,38,27,14.08,0,0,10
145,2023-01-02,19,71,25,25,46,26,66.28,0,0,2
146,2023-01-02,20,117,22,15,15,18,42.25,0,1,3
147,2023-01-02,19,63,28,28,43,34,63.58,0,0,7
148,2023-01-02,11,128,6,6,12,11,45.9,0,0,7
149,2023-01-02,16,33,9,9,13,10,237.21,0,0,7
150,2023-01-02,10,149,20,20,20,23,20.82,0,0,2
151,2023-01-02,3,70,35,35,66,45,32.8,0,0,7
152,2023-01-02,11,117,10,10,12,10,42.25,0,0,5
153,2023-01-02,1,58,50,50,66,55,15.48,0,0,5
154,2023-01-02,8,34,10,10,17,11,123.2,0,0,4
155,2023-01-02,15,98,9,9,14,9,97.17,0,0,4
156,2023-01-02,4,57,20,20,21,18,86.86,0,0,5
157,2023-01-02,13,63,30,30,44,32,54.04,1,0,2
158,2023-01-02,11,10,23,23,32,37,3.45,0,0,4
159,2023-01-02,19,56,29,29,47,30,83.55,0,0,7
160,2023-01-02,19,54,28,28,47,32,68.86,0,0,10
161,2023-01-02,8,24,19,19,29,22,13.34,0,0,10
