product_id,product_name,category,sub_category,unit_price,unit_cost,supplier_name
1,Potato Chips,Grocery,Snacks,5.42,3.61,Meridian Logistics
2,Trail Mix,Grocery,Snacks,7.19,4.27,Prime Distributors Inc.
3,Popcorn,Grocery,Snacks,8.62,4.9,Global Sourcing Co.
4,Pretzels,Grocery,Snacks,13.19,7.66,Prime Distributors Inc.
5,Granola Bars,Grocery,Snacks,12.3,7.8,Global Sourcing Co.
6,Cola 2L,Grocery,Beverages,7.0,4.68,Unity Supply Chain Ltd.
7,Orange Juice,Grocery,Beverages,8.88,6.61,Global Sourcing Co.
8,Bottled Water 24pk,Grocery,Beverages,10.84,6.21,Meridian Logistics
9,Energy Drink,Grocery,Beverages,11.76,8.28,NorthStar Wholesale
10,Coffee Beans,Grocery,Beverages,3.45,2.2,Unity Supply Chain Ltd.
11,Whole Milk 1gal,Grocery,Dairy,2.04,1.42,Apex Vendor Group
12,Cheddar Cheese,Grocery,Dairy,5.42,3.52,Prime Distributors Inc.
13,Greek Yogurt,Grocery,Dairy,8.6,4.91,Apex Vendor Group
14,Butter,Grocery,Dairy,5.88,3.99,Meridian Logistics
15,Eggs 12ct,Grocery,Dairy,4.59,2.87,Prime Distributors Inc.
16,White Bread,Grocery,Bakery,9.01,6.36,Meridian Logistics
17,Bagels 6pk,Grocery,Bakery,13.94,9.34,Unity Supply Chain Ltd.
18,Muffins 4pk,Grocery,Bakery,2.25,1.66,NorthStar Wholesale
19,Tortillas,Grocery,Bakery,5.11,3.06,Meridian Logistics
20,Dinner Rolls,Grocery,Bakery,14.31,8.12,Unity Supply Chain Ltd.
21,Frozen Pizza,Grocery,Frozen Foods,12.61,9.4,Meridian Logistics
22,Ice Cream Tub,Grocery,Frozen Foods,11.96,6.89,Unity Supply Chain Ltd.
23,Frozen Vegetables,Grocery,Frozen Foods,14.31,8.34,Meridian Logistics
24,Frozen Waffles,Grocery,Frozen Foods,13.34,8.47,Prime Distributors Inc.
25,Frozen Chicken Nuggets,Grocery,Frozen Foods,14.08,9.87,Apex Vendor Group
26,43-inch LED TV,Electronics,TVs,176.9,108.32,Apex Vendor Group
27,55-inch 4K TV,Electronics,TVs,526.9,335.96,Meridian Logistics
28,65-inch Smart TV,Electronics,TVs,372.16,223.14,Global Sourcing Co.
29,32-inch HD TV,Electronics,TVs,283.71,189.42,Prime Distributors Inc.
30,75-inch QLED TV,Electronics,TVs,478.98,264.13,Apex Vendor Group
31,Budget Laptop 14-in,Electronics,Laptops,512.26,305.2,Global Sourcing Co.
32,Business Laptop 15-in,Electronics,Laptops,690.52,389.57,Prime Distributors Inc.
33,Gaming Laptop,Electronics,Laptops,237.21,153.49,Meridian Logistics
34,2-in-1 Convertible,Electronics,Laptops,123.2,90.81,Meridian Logistics
35,Chromebook,Electronics,Laptops,469.45,281.01,Unity Supply Chain Ltd.
36,Phone Case,Electronics,Mobile Accessories,649.85,382.17,Global Sourcing Co.
37,Screen Protector,Electronics,Mobile Accessories,534.01,331.55,Unity Supply Chain Ltd.
38,Wireless Charger,Electronics,Mobile Accessories,384.28,267.39,Apex Vendor Group
39,USB-C Cable,Electronics,Mobile Accessories,529.7,359.79,Global Sourcing Co.
40,Power Bank,Electronics,Mobile Accessories,334.04,206.39,Global Sourcing Co.
41,Bluetooth Speaker,Electronics,Audio,213.95,125.81,Unity Supply Chain Ltd.
42,Wireless Earbuds,Electronics,Audio,129.34,75.88,Unity Supply Chain Ltd.
43,Soundbar,Electronics,Audio,214.85,157.84,Unity Supply Chain Ltd.
44,Over-Ear Headphones,Electronics,Audio,650.26,468.96,Global Sourcing Co.
45,Smart Speaker,Electronics,Audio,59.46,44.59,Global Sourcing Co.
46,Wireless Controller,Electronics,Gaming,775.82,570.44,Prime Distributors Inc.
47,Gaming Headset,Electronics,Gaming,149.72,96.89,Prime Distributors Inc.
48,Console Bundle,Electronics,Gaming,694.43,507.27,Prime Distributors Inc.
49,Gaming Mouse,Electronics,Gaming,315.6,235.77,NorthStar Wholesale
50,VR Headset,Electronics,Gaming,742.68,525.09,NorthStar Wholesale
51,Men's T-Shirt,Apparel,Men's Wear,43.84,32.51,Meridian Logistics
52,Men's Jeans,Apparel,Men's Wear,62.95,40.75,Prime Distributors Inc.
53,Men's Jacket,Apparel,Men's Wear,33.74,25.09,Meridian Logistics
54,Men's Shorts,Apparel,Men's Wear,68.86,38.71,NorthStar Wholesale
55,Men's Hoodie,Apparel,Men's Wear,14.57,9.72,Meridian Logistics
56,Women's Blouse,Apparel,Women's Wear,83.55,54.83,Global Sourcing Co.
57,Women's Leggings,Apparel,Women's Wear,86.86,49.16,Prime Distributors Inc.
58,Women's Dress,Apparel,Women's Wear,15.48,8.72,Prime Distributors Inc.
59,Women's Cardigan,Apparel,Women's Wear,42.3,31.23,Meridian Logistics
60,Women's Jeans,Apparel,Women's Wear,29.7,19.87,Meridian Logistics
61,Kids T-Shirt Pack,Apparel,Kids Wear,16.56,11.29,Meridian Logistics
62,Kids Jeans,Apparel,Kids Wear,51.82,38.19,Prime Distributors Inc.
63,Kids Pajama Set,Apparel,Kids Wear,63.58,38.96,NorthStar Wholesale
64,Kids Jacket,Apparel,Kids Wear,41.66,28.51,NorthStar Wholesale
65,Kids Shoes,Apparel,Kids Wear,46.58,34.27,Global Sourcing Co.
66,Running Shoes,Apparel,Footwear,10.75,7.25,Meridian Logistics
67,Casual Sneakers,Apparel,Footwear,89.69,50.64,Prime Distributors Inc.
68,Sandals,Apparel,Footwear,50.47,29.1,NorthStar Wholesale
69,Boots,Apparel,Footwear,80.47,58.41,NorthStar Wholesale
70,Slippers,Apparel,Footwear,32.8,20.91,Meridian Logistics
71,Winter Coat,Apparel,Winter Wear,66.28,44.56,Apex Vendor Group
72,Wool Sweater,Apparel,Winter Wear,52.32,35.76,Meridian Logistics
73,Thermal Gloves,Apparel,Winter Wear,33.95,23.18,Prime Distributors Inc.
74,Beanie Hat,Apparel,Winter Wear,31.16,22.68,Apex Vendor Group
75,Scarf,Apparel,Winter Wear,54.26,32.8,Meridian Logistics
76,Bookshelf,Home & Garden,Furniture,64.5,39.9,Apex Vendor Group
77,Office Chair,Home & Garden,Furniture,164.05,98.89,Unity Supply Chain Ltd.
78,Coffee Table,Home & Garden,Furniture,74.01,54.15,Global Sourcing Co.
79,Bar Stool,Home & Garden,Furniture,36.69,23.29,NorthStar Wholesale
